KEFRI Kakamega	r.kefri-kkm.k.kenet.or.ke
KEFRI Karura	r.kefri-karura.n.kenet.or.ke
KEFRI Kibwezi	r.kefri-kibwezi.n.kenet.or.ke
KEFRI Kitui	r.kefri-kitui.n.kenet.or.ke
KEFRI Lamu	r.kefri-lamu.s.kenet.or.ke
KEFRI Lodwar	r.kefri-lodwar.e.kenet.or.ke
KEFRI Marigat	r.kefri-marigat.a.kenet.or.ke
KEFRI Maseno	r.kefri-maseno.k.kenet.or.ke
KEFRI Turbo	r.kefri-turbo.n.kenet.or.ke
KEMRI Alupe	r.kemri-alupe.k.kenet.or.ke
KEMRI CPH	r.kemri-cph.n.kenet.or.ke
KEMRI Graduate School + Mbagathi	r.kemri-grad.n.kenet.or.ke
KEMRI HQ	r.kemri-hq.n.kenet.or.ke
KEMRI Kirinyaga	r.kemri-kirinyaga.m.kenet.or.ke
KEMRI Kisian	r.kemri-kisian.k.kenet.or.ke
KEMRI Malindi	r.kemri-malindi.s.kenet.or.ke
KEMRI Mtwapa	r.kemri-mtwapa.s.kenet.or.ke
KEMRI-Kwale	r.kemri-kwale.s.kenet.or.ke
Kenya accountant and secretaries (KASNEB)	r.kasneb.n.kenet.or.ke
Kenya Coast National Polytechnic	r.kenya-coast-poly.s.kenet.or.ke
Kenya Education Management Institute - KEMI	r.kemi-hq.n.kenet.or.ke
Kenya Forestry Research Institute Londiani	r.kefri-londiani.a.kenet.or.ke
Kenya Forestry Research Institute Migori	r.kefri-migori.k.kenet.or.ke
Kenya Forestry Research Institute Nyeri	r.kefri-nyeri.m.kenet.or.ke
Kenya Forestry Research Institute Rumuruti	r.kefri-rumuruti.a.kenet.or.ke
Kenya Forestry Research Institute Taita/wudanyi	r.kefri-wundanyi.s.kenet.or.ke
Kenya Highlands University	r.khu.a.kenet.or.ke
Kenya Industrial Research and Development Institute (KIRDI)	r.kirdi-southc.n.kenet.or.ke
Kenya Industrial Research and Development Institute (KIRDI) - KSM	r.kirdi-ksm.k.kenet.or.ke
Kenya Insitute of Special Education - KISE	r.kise.n.kenet.or.ke
Kenya Institute of Curriculum Development (KICD)	r.kicd.n.kenet.or.ke
