ACC-TVET , TVET CDACC
RCMRD-ICPE , RCMRD<>ICIPE Interception Point
RFV-KIJABE , Rift Valley Academy<>Kijabe Hospital
RIARA -UNV , Riara University
RONGO-BS , Rongo base station
RONGO-UNIV , Rongo University
RONGO-UNJU , Rongo University<> Rongo NOFBI junction
RONGO-UNV , Rongo University
RONG-U , Rongo University
RUARAKA-SS , Ruaraka SubStation KPLC
RVA , Rift Valley Academy
RVTTI-RV , Rift Valley Technical Training Institute
SAF-BTS , SAFARICOM BTS
SAMEER POP , SAMEER POP
SCU-SCOTT , Scott Christian University
SEACOM , SEACOM
SEACOM CLS , SEACOM CLS
SEACOM-LAN , Seacom Landing Station
SEG-BAR , SEGERO ADVENTIST
SEGERO ADV , Segero Adventist
SEKU , SEKU
SEKU-KITUI , South Eastern Kenya University - Kitui
SEKU-M.AND , South Eastern Kenya University - Mtito Andei
SEKU-MAIN , South Eastern Kenya University - Main
SEKU-MU , SEKU Main University
SEKU-WOTE , South Eastern Kenya University - Wote
SERVER-FR2 , KENET Second Floor Serve Room
SEUCO , SEUCO
SHANTU-TTC , SHANTU TTC
SIAYA-TEL , Siaya Telephone
SIGALAGALA , Sigalagala <> NOFBI Intercepion Point
SIRUTI , Siruti Technical Vocational College
SIT-SIAYA , Siaya Institute of Technology
SJTI-DEAF , St. Joseph's Technical Institute for the Deaf - Ny
SLCMC-SLEO , Sister Leonella Consolata Medical College
SPA , Sukari Presbyterian Academy
SP-SIGALAG , Sigalagala Polytechnic
SSU , Scott Christian University
ST JSPH-NY , St Joseph Nyangoma TTI
ST. TERESA , St Theresa's kabula
ST.PAUL-AC , St. Paul Academy
ST.PU-MKS , St. Paul's University - Machakos
ST.PUN-NKR , St. Paul's University - Nakuru
ST.PUN-NRB , St. Paul's University - Town (Nairobi)
ST.PUNV-MN , St. Paul's University - Main
STJ-CKL , St Joseph Chakol
STJ-NYAB , St. Joseph's Nyabondo
ST-PL-MLK , ST PAUL'S MILUKI GIRLS SEC SCHOOL
STRATHMORE , Strathmore University
STTI-SAGAN , Sagana Technical Training Institution
STTI-SIALA , Siala Technical Training Institute 
STVC-B&D , Sikri Technical & Vocational College -Blind & Deaf
THARAKA-UN , tHARAKA UNIVERSITY
THG-TTC , Thogoto Teachers Training College
THIKA TH , Thika TH
TIAPD-TEGE , Tegemeo Institute of Agricultural Policy  and Deve
TI-TUNAPAN , Tunapanda Institute 
TNENP-NE , The North Eastern National Polytechnic
TNWK , Tenwek Hospital Ngito
TNWK KBSN , Tenwek Kaboson
TNWK-MAIN , Tenwek Hopsital - Main
TNWK-NGITO , Tenwek Hospital Ngito
TRA-ELDORE , Toursim Regulatory Authority - Eldoret
TRA-HQ , Tourism Regulatory Authority - Headquarters
TRA-KISUMU , Toursim Regulatory Authority - Kisumu
TRA-MALIND , Toursim Regulatory Authority - Malindi
TRA-MSA , Toursim Regulatory Authority - Mombasa
TRA-NAKURU , Toursim Regulatory Authority - Nakuru
TRA-NYERI , Toursim Regulatory Authority - Nyeri
TRI , Tourism Research Institute 
TSC , Teacher Service Commission 
TSEIK-TTI , Tseikuru Technical Training Institute
TTTI-THIKA , Thika Technical Training Institute
TTU-MAIN , Taita Taveta University - Main
TTU-NGEREN , Taita Taveta University - Ngerenyi
TTVC-TURBO , Turbo Technical & Vocational College
TUC , Tangaza University  College
TUK-LADIES , Technical University of Kenya - Womens Hostel
TUK-MAIN , Technical University of Kenya - Main
TUK-MEN , Technical University of Kenya - Mens Hostel
TUM-KWALE , Technical University of Mombasa - Kwale
TUM-LAMU , Technical University of Mombasa - Lamu
TUM-MAIN , Technical University of Mombasa - Main
TVETA KISU , TVETA KISUMU
TVETA-ELD , Technical & Vocational Edu& Training Authority-ELD
TVETA-HQ , Technical & Vocational Edu& Training Authority-HQ
TVET-CDACC , TVET-Curriculum Dev Assess & Certification Council
TVTA-MSA , TVETA - Mombasa
UEAB , University of EA – Baraton
UFB , Universities Fund Board
UMMAL-OFFI , Umma University - Liaison Office
UMMA-THIKA , Umma University - Thika
UMMA-UNVGR , Umma University - Garissa
UMMA-UNVKJ , Umma University - Kajiado
UMMA-UNVMG , Umma University - Kajiado ( to Manaar Girls)
UMMA-UNVTG , Umma University - Kajiado ( to Tembea Girls)
UOE-ELDT , University of Eldoret - Eldoret Town
UOE-M , University of Eldoret - Main
UOE-NRB , University of Eldoret - Nairobi
UOK-KAPKAT , University of Kabianga - Kapkatet
UOK-KERICH , University of Kabianga - Kericho
UOK-MAIN , University of Kabianga - Main
UOK-SOTIK , University of Kabianga - Sotik
UON DATA C , KENET UON Data Centre
UON-CHIROM , University of Nairobi - Chiromo
UON-JOURN , University of Nairobi - Journalism
UON-KIKUYU , University of Nairobi - Kikuyu
UON-KISUMU , UON Kisumu Campus
UON-KNH , University of Nairobi - KNH
UON-KSCIE , University of Nairobi - Kenya Science
UON-LWKABE , University of Nairobi - Lower Kabete
UON-MAIN , University of Nairobi
UON-MKSUC , University of Nairobi - Mosoriot (KSUC)
UON-MOMBAS , UON Mombasa Campus
UON-PKLAND , University of Nairobi - Parklands
UON-SECRET , UoN Secretariat
UON-UPKABE , UON Upper Kabete<>NACOSTI
USIU , United States International University
USIU DATA , KENET USIU Data Centre
USIU-RECE , KENET USIU Reception
UTALII-COL , Utalii College
UTTC-UGENY , Ugenya Teachers Training College
W-BANK , World Bank
WOTE TH , WOTE TH
WTTI-WOTE , Wote Technical Training Institute
ZETECH-MN , Zetech Main
ZETECH-PIO , Zetech University - Pioneer
ZETECH-RUI , Zetech University Ruiru
ZETECH-STB , Zetech University - Stanbank
