Node Label
04.conference.ke
05.conference.ke
06.conference.ke
07.conference.ke
09.conference.ke
10.conference.ke
11.conference.ke
12.conference.ke
2626.alliance-boys.n.kenet.or.ke
2626.alliance-girls.n.kenet.or.ke
2626s.usiu-main-office-02.n.kenet.or.ke
2650s.uon-training-rm-02.n.kenet.or.ke
2824s.r03.s03.ph.n.kenet.or.ke
2910s.cuea-main-office-01.n.kenet.or.ke
2910s.r03.s01.ph.n.kenet.or.ke
2910s.r03.s02.ph.n.kenet.or.ke
2910s.r05.s03.pu.n.kenet.or.ke
2910s.r06.s03.ph.n.kenet.or.ke
2920s.r01.s01.pu.n.kenet.or.ke
2920s.r04.s01.pu.n.kenet.or.ke
2920s.r04.s02.pu.n.kenet.or.ke
2920s.r04.s03.ph.n.kenet.or.ke
2920s.r05.s01.ph.n.kenet.or.ke
2920s.r05.s02.ph.n.kenet.or.ke
2920s.r06.s03.pu.n.kenet.or.ke
2920s.r06.s04.pu.n.kenet.or.ke
2920s.r08.s01.ph.n.kenet.or.ke
2920s.r10.s01.ph.n.kenet.or.ke
2920s.r10.s02.ph.n.kenet.or.ke
2920s.r12.s01.pc.n.kenet.or.ke
2920s.rb07.s01.pu.n.kenet.or.ke
2960s.uon-noc-office-01.n.kenet.or.ke
3750s.uon-lib-svr.n.kenet.or.ke
3750s.uon-main-office-01.n.kenet.or.ke
3750s.uon-noc-office-02.n.kenet.or.ke
3750s.uon-training-rm-01.n.kenet.or.ke
3750s.usiu-main-office-01.n.kenet.or.ke
4000s.uon-main-office-02.n.kenet.or.ke
4000s.uon-training-rm-03.n.kenet.or.ke
6108s.lawson-sch.n.kenet.or.ke
6108s.moi-soa.e.kenet.or.ke
6600s.r04.s01.ph.n.kenet.or.ke
6600s.r04.s02.ph.n.kenet.or.ke
6600s.r06.s01.pu.n.kenet.or.ke
6600s.r06.s02.pu.n.kenet.or.ke
ac-uon-02.kenet.or.ke
ac-uon.n.kenet.or.ke
ac-usiu-02.kenet.or.ke
ac-usiu.n.kenet.or.ke
al-rl.asumbi-bs-asumbi-ttc.k.kenet.or.ke
al-rl.asumbi-ttc-asumbi-bs.k.kenet.or.ke
al-rl.atc-kambu-lukenya.n.kenet.or.ke
al-rl.awendo-bs-kmtc-awendo.k.kenet.or.ke
al-rl.awendo-bs-siruti-tvc.k.kenet.or.ke
al-rl.bungoma-north-tvc-maliki-bs.e.kenet.or.ke
al-rl.butere-tvc-sidindi-bs.k.kenet.or.ke
al-rl.kadongo-bs-sikri-tti.k.kenet.or.ke
al-rl.kamagambo-rongo-atc.k.kenet.or.ke
al-rl.kenyenya-ttc-riokindo-bs.k.kenet.or.ke
al-rl.kericho-hsp-bs-kericho-west-tvc.a.kenet.or.ke
al-rl.kericho-west-tvc-kericho-hsp-bs.k.kenet.or.ke
al-rl.kmtc-awendo-awendo-bs.k.kenet.or.ke
al-rl.kmtc-mumias-shianda-bs.k.kenet.or.ke
al-rl.kmtc-navakholo-navakholo-bs.k.kenet.or.ke
al-rl.kmtc-nyandarua-ol-kalau.a.kenet.or.ke
al-rl.lukenya-atc-kambu.n.kenet.or.ke
al-rl.maliki-bs-bungoma-north-tvc.e.kenet.or.ke
al-rl.navakholo-bs-kmtc-navakholo.k.kenet.or.ke
al-rl.ol-kalau-kmtc-nyandarua.a.kenet.or.ke
al-rl.riokindo-bs-kenyenya-ttc.k.kenet.or.ke
al-rl.rongo-atc-kamagambo.k.kenet.or.ke
al-rl.shianda-bs-kmtc-mumias.k.kenet.or.ke
al-rl.sidindi-bs-butere-tvc.k.kenet.or.ke
al-rl.sikri-tti-kadongo-bs.k.kenet.or.ke
al-rl.siruti-tvc-awendo-bs.k.kenet.or.ke
apn.kenet.or.ke
bbb01.conference.ke
bbb03.conference.ke
bigdata.kenet.or.ke
bmo.kenet.or.ke
cert.kenet.or.ke
chat.kenet.or.ke
chat-notifications.kenet.or.ke
chuja-01.kenet.or.ke
chuja-02.kenet.or.ke
chuja-03.kenet.or.ke
chuja-04.kenet.or.ke
chuja-05.kenet.or.ke
chuja-06.kenet.or.ke
cloudlabs.kenet.or.ke
conference-pbx.kenet.or.ke
controller.eduroam.ke
cp-uon.kenet.or.ke
cuea-vpn-gw.kenet.or.ke
ds-300b-r05-s01-pu-n.kenet.or.ke
ds-300b-r05-s02-pu-n.kenet.or.ke
ds-300b-r06-s01-ph-n.kenet.or.ke
ds-300b-r06-s02-ph-n.kenet.or.ke
ES48.kabianga.a.kenet.or.ke
fna001.01.fnb08
fna002.01.fnb08
fna003.01.fnb08
fna004.01.fnb08
FS3260.utalii-sports-ground.n.kenet.or.ke
FS3260.utalii-student-center.n.kenet.or.ke
FS3400.maseno-town-pop.k.kenet.or.ke
GGC-01-UoN
GGC-01-USIU
GGC-02-UoN
GGC-02-USIU
GGC-03-UoN
gnt-cuea-00.kenet.or.ke
gnt-cuea-01.kenet.or.ke
gnt-cuea-02.kenet.or.ke
gnt-cuea-03.kenet.or.ke
gnt-sandbox-gw.kenet.or.ke
gnt-usiu-14.kenet.or.ke
gnt-usiu-15.kenet.or.ke
gnt-usiu-16.kenet.or.ke
gnt-usiu-gpu-00.kenet.or.ke
gnt-usiu-gpu-01.kenet.or.ke
gnt-usiu-gpu-02.kenet.or.ke
gnt-usiu-gpu-03.kenet.or.ke
